algorithm,world_size,comm_mode,thread_mode,threads,nlist,nprobe,hnsw_m,hnsw_efc,hnsw_ef,queries,avg_recall,avg_latency_us,max_latency_us
mpi_ivf,2,blocking,none,1,128,4,16,100,32,10,0.91,6965941,8699719
mpi_ivf,2,blocking,openmp,2,128,4,16,100,32,10,0.91,4107439,4535560
mpi_ivf,2,blocking,openmp,4,128,4,16,100,32,10,0.91,3048411,3255993
mpi_ivf,2,blocking,pthread,2,128,4,16,100,32,10,0.91,6105227,7000178
mpi_ivf,2,blocking,pthread,4,128,4,16,100,32,10,0.91,6705667,8015343
mpi_ivf,2,blocking,none,1,128,8,16,100,32,10,0.97,7322507,8695106
mpi_ivf,2,blocking,openmp,2,128,8,16,100,32,10,0.97,4644378,5139579
mpi_ivf,2,blocking,openmp,4,128,8,16,100,32,10,0.97,3521582,4248381
mpi_ivf,2,blocking,pthread,2,128,8,16,100,32,10,0.97,7500838,8940206
mpi_ivf,2,blocking,pthread,4,128,8,16,100,32,10,0.97,7773443,10399292
mpi_ivf,2,blocking,none,1,32,16,16,100,32,10,1,1907745,1976494
mpi_ivf,2,blocking,openmp,2,32,16,16,100,32,10,1,1553800,1707042
mpi_ivf,2,blocking,openmp,4,32,16,16,100,32,10,1,1212402,1304123
mpi_ivf,2,blocking,pthread,2,32,16,16,100,32,10,1,1975664,2099698
mpi_ivf,2,blocking,pthread,4,32,16,16,100,32,10,1,2078613,2643979
mpi_ivf,2,blocking,none,1,32,4,16,100,32,10,0.97,1828161,2257603
mpi_ivf,2,blocking,openmp,2,32,4,16,100,32,10,0.97,1658255,2134008
mpi_ivf,2,blocking,openmp,4,32,4,16,100,32,10,0.97,1267935,1639504
mpi_ivf,2,blocking,pthread,2,32,4,16,100,32,10,0.97,2534452,3068094
mpi_ivf,2,blocking,pthread,4,32,4,16,100,32,10,0.97,2552239,3108895
mpi_ivf,2,blocking,none,1,32,8,16,100,32,10,1,2031173,2785116
mpi_ivf,2,blocking,openmp,2,32,8,16,100,32,10,1,1344627,1568267
mpi_ivf,2,blocking,openmp,4,32,8,16,100,32,10,1,1040504,1083134
mpi_ivf,2,blocking,pthread,2,32,8,16,100,32,10,1,1912173,2125876
mpi_ivf,2,blocking,pthread,4,32,8,16,100,32,10,1,2266627,2804075
mpi_ivf,2,blocking,none,1,64,16,16,100,32,10,1,3126665,4239441
mpi_ivf,2,blocking,openmp,2,64,16,16,100,32,10,1,2211828,2720939
mpi_ivf,2,blocking,openmp,4,64,16,16,100,32,10,1,1787545,1871962
mpi_ivf,2,blocking,pthread,2,64,16,16,100,32,10,1,3187337,3654191
mpi_ivf,2,blocking,pthread,4,64,16,16,100,32,10,1,3704196,4469072
mpi_ivf,2,blocking,none,1,64,4,16,100,32,10,0.96,4015190,4951334
mpi_ivf,2,blocking,openmp,2,64,4,16,100,32,10,0.96,2315846,2754389
mpi_ivf,2,blocking,openmp,4,64,4,16,100,32,10,0.96,1889236,1951760
mpi_ivf,2,blocking,pthread,2,64,4,16,100,32,10,0.96,3936437,4824664
mpi_ivf,2,blocking,pthread,4,64,4,16,100,32,10,0.96,3805628,4170662
mpi_ivf,2,blocking,none,1,64,8,16,100,32,10,0.99,3530839,3686276
mpi_ivf,2,blocking,openmp,2,64,8,16,100,32,10,0.99,2206845,2486900
mpi_ivf,2,blocking,openmp,4,64,8,16,100,32,10,0.99,1856796,2031081
mpi_ivf,2,blocking,pthread,2,64,8,16,100,32,10,0.99,3322045,3794504
mpi_ivf,2,blocking,pthread,4,64,8,16,100,32,10,0.99,3041926,3583794
graph,2,blocking,openmp,2,128,16,16,100,16,10,0.93,107674,1023461
graph,2,blocking,openmp,4,128,16,16,100,16,10,0.94,211,317
graph,2,blocking,pthread,2,128,16,16,100,16,10,0.92,221,352
graph,2,blocking,pthread,4,128,16,16,100,16,10,0.92,1022,8252
graph,2,blocking,openmp,2,128,16,16,100,32,10,0.97,146265,1459832
graph,2,blocking,openmp,4,128,16,16,100,32,10,0.97,19896,183194
graph,2,blocking,pthread,2,128,16,16,100,32,10,0.98,324,495
graph,2,blocking,pthread,4,128,16,16,100,32,10,0.98,1652,13232
graph,2,blocking,openmp,2,128,16,16,40,16,10,0.88,12819,126635
graph,2,blocking,openmp,4,128,16,16,40,16,10,0.9,5749,55966
graph,2,blocking,pthread,2,128,16,16,40,16,10,0.9,263586,2634047
graph,2,blocking,pthread,4,128,16,16,40,16,10,0.9,1384,12251
graph,2,blocking,openmp,2,128,16,16,40,32,10,0.95,103459,997545
graph,2,blocking,openmp,4,128,16,16,40,32,10,0.96,806,6028
graph,2,blocking,pthread,2,128,16,16,40,32,10,0.96,413226,4129723
graph,2,blocking,pthread,4,128,16,16,40,32,10,0.96,421852,4215986
graph,2,blocking,openmp,2,128,16,8,100,16,10,0.87,174,313
graph,2,blocking,openmp,4,128,16,8,100,16,10,0.91,1631,15018
graph,2,blocking,pthread,2,128,16,8,100,16,10,0.88,251,412
graph,2,blocking,pthread,4,128,16,8,100,16,10,0.88,77925,776960
graph,2,blocking,openmp,2,128,16,8,100,32,10,0.97,12491,107022
graph,2,blocking,openmp,4,128,16,8,100,32,10,0.97,32059,309579
graph,2,blocking,pthread,2,128,16,8,100,32,10,0.98,250,450
graph,2,blocking,pthread,4,128,16,8,100,32,10,0.98,317,1309
graph,2,blocking,openmp,2,128,16,8,40,16,10,0.85,38284,74679
graph,2,blocking,openmp,4,128,16,8,40,16,10,0.83,103164,1029404
graph,2,blocking,pthread,2,128,16,8,40,16,10,0.88,257,615
graph,2,blocking,pthread,4,128,16,8,40,16,10,0.88,27751,41316
graph,2,blocking,openmp,2,128,16,8,40,32,10,0.92,183,265
graph,2,blocking,openmp,4,128,16,8,40,32,10,0.91,22928,227479
graph,2,blocking,pthread,2,128,16,8,40,32,10,0.95,242280,2420947
graph,2,blocking,pthread,4,128,16,8,40,32,10,0.95,302965,3026673
