algorithm,variant,params,queries,k,batch_size,nlist,nprobe,build_ms,avg_recall,avg_latency_us,p50_latency_us,p95_latency_us,max_latency_us,total_time_ms,kernel_ms,h2d_ms,d2h_ms,host_select_ms,avg_candidates,waste_ratio,measured_by
gpu_flat_batch,matrix_baseline,"batch_size=32,selection=host_heap,metric=inner_product",2000,10,32,,,0.000,0.999950,389.493,382.419,433.953,496.394,778.986,405.709,3.383,122.553,238.757,100000.0,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_flat_batch,matrix_baseline,"batch_size=64,selection=host_heap,metric=inner_product",2000,10,64,,,0.000,0.999950,379.778,378.627,399.814,428.227,759.555,394.729,2.025,119.594,237.797,100000.0,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_flat_batch,matrix_baseline,"batch_size=128,selection=host_heap,metric=inner_product",2000,10,128,,,0.000,0.999950,375.686,376.801,385.090,385.090,751.371,397.341,1.139,115.142,235.299,100000.0,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_flat_batch,matrix_baseline,"batch_size=64,selection=host_heap,metric=inner_product",4000,10,64,,,0.000,0.999975,377.838,376.466,389.286,431.191,1511.354,789.747,3.355,231.807,476.921,100000.0,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_flat_batch,matrix_baseline,"batch_size=64,selection=host_heap,metric=inner_product",2000,1,64,,,0.000,1.000000,384.086,377.023,410.703,493.870,768.171,394.780,1.760,127.217,239.786,100000.0,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_flat_batch,matrix_baseline,"batch_size=64,selection=host_heap,metric=inner_product",2000,20,64,,,0.000,0.999975,379.909,376.442,406.466,408.455,759.819,394.682,1.709,111.365,247.556,100000.0,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_flat_batch,matrix_baseline,"batch_size=64,selection=host_heap,metric=inner_product",2000,50,64,,,0.000,1.000000,395.212,394.802,414.355,421.528,790.424,394.851,1.736,116.006,273.473,100000.0,1.000000,cpp_nvidia_driver_api_ptx_jit
