algorithm,variant,params,queries,k,batch_size,nlist,nprobe,build_ms,avg_recall,avg_latency_us,p50_latency_us,p95_latency_us,max_latency_us,total_time_ms,kernel_ms,h2d_ms,d2h_ms,host_select_ms,avg_candidates,waste_ratio,measured_by
gpu_ivf_compact,ivf_pair_compaction,"nlist=32,nprobe=4,batch_size=32,layout=compact_pairs,iters=4",2000,10,32,32,4,288.504,0.934350,88.520,88.775,96.559,105.106,177.040,52.314,56.244,22.829,38.524,14895.3,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_ivf_compact,ivf_pair_compaction,"nlist=64,nprobe=8,batch_size=32,layout=compact_pairs,iters=4",2000,10,32,64,8,547.148,0.968000,96.130,96.625,113.178,127.125,192.260,56.942,63.771,23.362,41.496,16218.9,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_ivf_compact,ivf_pair_compaction,"nlist=64,nprobe=16,batch_size=32,layout=compact_pairs,iters=4",2000,10,32,64,16,558.220,0.991550,180.781,180.119,202.369,217.019,361.563,133.244,107.005,39.589,74.845,29141.9,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_ivf_compact,ivf_pair_compaction,"nlist=128,nprobe=8,batch_size=32,layout=compact_pairs,iters=4",2000,10,32,128,8,1098.695,0.944450,96.915,96.944,108.309,137.438,193.830,81.058,56.094,19.761,25.169,9101.7,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_ivf_compact,ivf_pair_compaction,"nlist=64,nprobe=8,batch_size=32,layout=compact_pairs,iters=4",4000,10,32,64,8,557.885,0.967350,172.367,171.131,196.738,207.569,689.468,326.093,193.207,58.432,85.440,16109.1,1.000000,cpp_nvidia_driver_api_ptx_jit
gpu_ivf_compact,ivf_pair_compaction,"nlist=128,nprobe=8,batch_size=32,layout=compact_pairs,iters=4",4000,10,32,128,8,1115.773,0.945925,223.801,216.294,289.184,354.678,895.202,304.325,406.324,76.749,51.767,9050.6,1.000000,cpp_nvidia_driver_api_ptx_jit
