index,opq_lite,nlist,M,ksub,coarse_train_s,assign_s,opq_s,pq_train_s,pq_encode_s,reorder_s,graph_s,total_build_s
Residual-IVF-PQ,0,64,16,64,0.0334155,0.029691,9.3e-06,0.0428434,0.0288611,0.03154,0.000438,0.1705
OPQ-lite-IVF-PQ,1,64,16,64,0.0328802,0.0309267,0.0027076,0.0525964,0.032382,0.030003,0.0004632,0.186618
